Frequency (MHz),Ground Data (Watts),Sky Data (Watts),Source Data (Watts),Original Receiver Temperature (Tr) (K),Corrected Receiver Temperature (Tr) (K),Source Temperature (Ts) (K),Brightness Temperature (K)
1420.07421875,6.441692655151775e-07,1.503141966090024e-07,1.5958791472367336e-07,84.78886882313266,84.78886882313266,5.539574292286318,-0.2453593292804861
1420.078125,6.441692655151775e-07,1.4893610777109138e-07,1.5922087270511716e-07,83.71811409521199,83.71811409521199,6.126418653707049,0.3414850321402447
1420.08203125,6.426877173170195e-07,1.4927944095789974e-07,1.5958791472367336e-07,84.25151277869618,84.25151277869618,6.163252435372328,0.37831881380552446
1420.0859375,6.412095765851616e-07,1.4927944095789974e-07,1.5885467485977776e-07,84.51969373949441,84.51969373949441,5.742063346967427,-0.042870274599376756
1420.08984375,6.397348354826482e-07,1.485935642287006e-07,1.584893192461114e-07,84.25151277869595,84.25151277869595,5.943804564994025,0.15887094342722108
1420.09375,6.367955209079156e-07,1.4723125024327192e-07,1.5776112696993466e-07,83.71811409521223,83.71811409521223,6.345057882080127,0.560124260513323
1420.09765625,6.353309318517436e-07,1.4825180851459545e-07,1.57398286446622e-07,84.78886882313269,84.78886882313269,5.539574292286332,-0.24535932928047188
1420.1015625,6.382634861905488e-07,1.4689262776438677e-07,1.5703628043335533e-07,83.18863481096277,83.18863481096277,6.089855525682111,0.3049219041153073
1420.10546875,6.353309318517436e-07,1.4723125024327192e-07,1.5703628043335533e-07,83.98432115062329,83.98432115062329,5.9260106389391325,0.14107701737232858
1420.109375,6.338697112569269e-07,1.4791083881682087e-07,1.57398286446622e-07,84.78886882313269,84.78886882313269,5.759329049262874,-0.025604572303929984
1420.11328125,6.30957344480193e-07,1.4689262776438677e-07,1.56675107010815e-07,84.51969373949441,84.51969373949441,5.9616643767709405,0.1767307552041366
1420.1171875,6.30957344480193e-07,1.458814260275349e-07,1.559552502826954e-07,83.71811409521226,83.71811409521226,6.126418653706864,0.34148503214006
1420.12109375,6.280583588133173e-07,1.4487718535447616e-07,1.5523870099580817e-07,83.45288688221434,83.45288688221434,6.326089016076523,0.541155394509719
1420.125,6.683439175686149e-07,1.8663796908346694e-07,1.9543394557753924e-07,109.2983620043885,109.2983620043885,5.38671584586281,-0.3982177757039942
1420.12890625,6.280583588133173e-07,1.452111617587742e-07,1.548816618912481e-07,83.71811409521223,83.71811409521223,5.908282281604613,0.12334866003780931
1420.1328125,6.251726927756862e-07,1.4487718535447616e-07,1.548816618912481e-07,83.98432115062316,83.98432115062316,6.14480154976647,0.35986792819966595
1420.13671875,6.280583588133173e-07,1.4554590805819668e-07,1.559552502826954e-07,83.9843211506234,83.9843211506234,6.364096825732602,0.5791632041657984
1420.140625,6.29506182857198e-07,1.4621771744567184e-07,1.5631476426409537e-07,84.25151277869595,84.25151277869595,6.163252435372314,0.37831881380551025
1420.14453125,6.29506182857198e-07,1.4554590805819668e-07,1.559552502826954e-07,83.71811409521214,83.71811409521214,6.345057882080241,0.5601242605134367
1420.1484375,6.280583588133173e-07,1.4554590805819668e-07,1.5523870099580817e-07,83.9843211506234,83.9843211506234,5.926010638939019,0.1410770173722149
1420.15234375,6.26613864672335e-07,1.458814260275349e-07,1.5703628043335533e-07,84.51969373949441,84.51969373949441,6.845142505867841,1.060208884301037
1420.15625,6.237348354824198e-07,1.4421153515248695e-07,1.545254439538414e-07,83.71811409521212,83.71811409521212,6.345057882080241,0.5601242605134367
1420.16015625,6.251726927756862e-07,1.458814260275349e-07,1.559552502826954e-07,84.78886882313255,84.78886882313255,6.200359492120484,0.41542587055367974
1420.1640625,6.237348354824198e-07,1.452111617587742e-07,1.5523870099580817e-07,84.51969373949416,84.51969373949416,6.181771639230092,0.3968380176632884
1420.16796875,6.26613864672335e-07,1.4621771744567184e-07,1.5631476426409537e-07,84.78886882313266,84.78886882313266,6.200359492120484,0.41542587055367974
1420.171875,6.251726927756862e-07,1.4554590805819668e-07,1.559552502826954e-07,84.51969373949429,84.51969373949429,6.402386301331902,0.6174526797650977
1420.17578125,6.237348354824198e-07,1.452111617587742e-07,1.559552502826954e-07,84.51969373949416,84.51969373949416,6.623509532753445,0.8385759111866413
1420.1796875,6.251726927756862e-07,1.458814260275349e-07,1.555965631605075e-07,84.78886882313255,84.78886882313255,5.9795903932730425,0.19465677170623863
1420.18359375,6.26613864672335e-07,1.4487718535447616e-07,1.5631476426409537e-07,83.71811409521223,83.71811409521223,7.004004310228964,1.2190706886621605
1420.1875,6.26613864672335e-07,1.452111617587742e-07,1.548816618912481e-07,83.98432115062329,83.98432115062329,5.926010638939104,0.14107701737230016
1420.19140625,6.251726927756862e-07,1.4487718535447616e-07,1.559552502826954e-07,83.98432115062316,83.98432115062316,6.804205126488256,1.019271504921452
1420.1953125,6.251726927756862e-07,1.4621771744567184e-07,1.5776112696993466e-07,85.05904285001407,85.05904285001407,7.109866240164166,1.3249326185973622
1420.19921875,6.26613864672335e-07,1.4554590805819668e-07,1.5812480392703843e-07,84.25151277869618,84.25151277869618,7.713617650665313,1.928684029098509
1420.203125,6.280583588133173e-07,1.4554590805819668e-07,1.5703628043335533e-07,83.9843211506234,83.9843211506234,7.025020484688142,1.2400868631213378
1420.20703125,6.29506182857198e-07,1.4689262776438677e-07,1.5885467485977776e-07,84.78886882313257,84.78886882313257,7.311862370839805,1.5269287492730008
1420.2109375,6.29506182857198e-07,1.4621771744567184e-07,1.584893192461114e-07,84.25151277869595,84.25151277869595,7.490604039239997,1.7056704176731934
1420.21484375,6.26613864672335e-07,1.4723125024327192e-07,1.584893192461114e-07,85.60240716800604,85.60240716800604,6.927932419478864,1.1429987979120604
1420.21875,6.30957344480193e-07,1.4621771744567184e-07,1.5885467485977776e-07,83.9843211506233,83.9843211506233,7.6905254475837665,1.9055918260169626
1420.22265625,6.30957344480193e-07,1.4723125024327192e-07,1.5885467485977776e-07,84.78886882313266,84.78886882313266,7.088536886310294,1.30360326474349
1420.2265625,6.30957344480193e-07,1.4723125024327192e-07,1.5922087270511716e-07,84.78886882313266,84.78886882313266,7.311862370840004,1.5269287492731998
1420.23046875,6.324118513762197e-07,1.4621771744567184e-07,1.5922087270511716e-07,83.71811409521212,83.71811409521212,7.889710166853504,2.1047765452867004
1420.234375,6.29506182857198e-07,1.458814260275349e-07,1.5922087270511716e-07,83.9843211506232,83.9843211506232,8.136756264677231,2.3518226431104274
1420.23828125,6.338697112569269e-07,1.4621771744567184e-07,1.5958791472367336e-07,83.45288688221426,83.45288688221426,8.088161736373522,2.3032281148067177
